productId,name,color,price,productAdjective,productMaterial
9d3ebe34-d89e-443a-b4dc-a586a0f7904f,Unbranded Cotton Pizza,gold,642.00,Fantastic,Soft
ae1381ec-c338-42aa-bcaa-aefce93f41a8,Licensed Granite Bacon,black,201.00,Practical,Metal
d57244bf-d476-4095-b5c5-7a91d7213ce0,Handcrafted Plastic Tuna,indigo,618.00,Gorgeous,Granite
31d9e419-d0c2-4bd3-a559-dee1ce0011c7,Sleek Soft Fish,maroon,972.00,Fantastic,Steel
0ce1a488-c071-437a-8b3c-5eff03f158cc,Intelligent Frozen Sausages,maroon,929.00,Unbranded,Granite
e7ca1f9a-0a60-4c83-8398-d8b91b088301,Generic Fresh Shirt,red,423.00,Incredible,Rubber
6aa5aad4-c742-4d50-ad23-9a451f1d0a00,Intelligent Plastic Bacon,maroon,893.00,Handcrafted,Fresh
60caeb04-07f7-4296-a4c5-616a2deeb5b4,Fantastic Metal Chair,fuchsia,402.00,Tasty,Soft
70e7f5f7-b438-419a-bdf4-6b70d0e973c9,Sleek Fresh Ball,azure,376.00,Practical,Rubber
6b610224-cadd-4ac9-b145-e8d7931a84d3,Incredible Frozen Mouse,yellow,73.00,Awesome,Granite
6e10d215-64f9-4c50-bc3b-1d13566a69c9,Ergonomic Concrete Keyboard,ivory,186.00,Practical,Fresh
7fae8bb5-096f-46de-8fdd-af128515d2a4,Sleek Cotton Cheese,maroon,874.00,Fantastic,Plastic
40df27d5-e2fc-4f05-a88c-bd4ba8bc6eef,Handcrafted Frozen Chair,grey,881.00,Gorgeous,Soft
a3dce580-4ef7-4beb-81e1-08facec62d8a,Gorgeous Rubber Ball,blue,195.00,Handmade,Metal
bfc54616-7674-4204-ac7f-1c90022d459e,Sleek Wooden Tuna,silver,567.00,Intelligent,Metal
b9934d7c-496b-416d-96a9-2f09685cf55c,Incredible Metal Shoes,turquoise,990.00,Refined,Cotton
25f4f973-d9b3-4016-a49d-07ef3b41a4e2,Gorgeous Steel Bike,ivory,7.00,Refined,Cotton
286d974c-cb3f-4d2e-9b68-7002157478db,Intelligent Granite Computer,lavender,824.00,Practical,Fresh
14bee51f-a9f0-40c8-93b8-96dc06dc8d4e,Incredible Steel Ball,silver,959.00,Practical,Rubber
6913d724-deb0-48e7-8fba-ad9a61aa533b,Handmade Concrete Ball,indigo,639.00,Licensed,Wooden
62feff29-8ec5-4994-a2b7-1f843ac223f9,Licensed Frozen Gloves,gold,136.00,Rustic,Metal
